2024-06-30 16:21:53 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8
2024-06-30 16:21:53 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8
2024-06-30 16:21:53 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8
2024-06-30 16:21:53 install libdebconfclient0:amd64 <none> 0.260
2024-06-30 16:21:53 status half-installed libdebconfclient0:amd64 0.260
2024-06-30 16:21:54 status unpacked libdebconfclient0:amd64 0.260
2024-06-30 16:21:54 install libext2fs2:amd64 <none> 1.46.2-2
2024-06-30 16:21:54 status half-installed libext2fs2:amd64 1.46.2-2
2024-06-30 16:21:54 status unpacked libext2fs2:amd64 1.46.2-2
2024-06-30 16:21:54 install libffi7:amd64 <none> 3.3-6
2024-06-30 16:21:54 status half-installed libffi7:amd64 3.3-6
2024-06-30 16:21:54 status unpacked libffi7:amd64 3.3-6
2024-06-30 16:21:54 install libgcc-s1:amd64 <none> 10.2.1-6
2024-06-30 16:21:54 status half-installed libgcc-s1:amd64 10.2.1-6
2024-06-30 16:21:54 status unpacked libgcc-s1:amd64 10.2.1-6
2024-06-30 16:21:54 install libgcrypt20:amd64 <none> 1.8.7-6
2024-06-30 16:21:54 status half-installed libgcrypt20:amd64 1.8.7-6
2024-06-30 16:21:54 status unpacked libgcrypt20:amd64 1.8.7-6
2024-06-30 16:21:54 install libgmp10:amd64 <none> 2:6.2.1+dfsg-1+deb11u1
2024-06-30 16:21:54 status half-installed libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2024-06-30 16:21:54 status unpacked libgmp10:amd64 2:6.2.1+dfsg-1+deb11u1
2024-06-30 16:21:54 install libgnutls30:amd64 <none> 3.7.1-5+deb11u5
2024-06-30 16:21:54 status half-installed libgnutls30:amd64 3.7.1-5+deb11u5
2024-06-30 16:21:54 status unpacked libgnutls30:amd64 3.7.1-5+deb11u5
2024-06-30 16:21:54 install libgpg-error0:amd64 <none> 1.38-2
2024-06-30 16:21:54 status half-installed libgpg-error0:amd64 1.38-2
2024-06-30 16:21:54 status unpacked libgpg-error0:amd64 1.38-2
2024-06-30 16:21:54 install libgssapi-krb5-2:amd64 <none> 1.18.3-6+deb11u4
2024-06-30 16:21:54 status half-installed libgssapi-krb5-2:amd64 1.18.3-6+deb11u4
2024-06-30 16:21:54 status unpacked libgssapi-krb5-2:amd64 1.18.3-6+deb11u4
2024-06-30 16:21:54 install libhogweed6:amd64 <none> 3.7.3-1
2024-06-30 16:21:54 status half-installed libhogweed6:amd64 3.7.3-1
2024-06-30 16:21:54 status unpacked libhogweed6:amd64 3.7.3-1
2024-06-30 16:21:54 install libidn2-0:amd64 <none> 2.3.0-5
2024-06-30 16:21:54 status half-installed libidn2-0:amd64 2.3.0-5
2024-06-30 16:21:54 status unpacked libidn2-0:amd64 2.3.0-5
2024-06-30 16:21:54 install libk5crypto3:amd64 <none> 1.18.3-6+deb11u4
2024-06-30 16:21:54 status half-installed libk5crypto3:amd64 1.18.3-6+deb11u4
2024-06-30 16:21:54 status unpacked libk5crypto3:amd64 1.18.3-6+deb11u4
2024-06-30 16:21:54 install libkeyutils1:amd64 <none> 1.6.1-2
2024-06-30 16:21:54 status half-installed libkeyutils1:amd64 1.6.1-2
2024-06-30 16:21:54 status unpacked libkeyutils1:amd64 1.6.1-2
2024-06-30 16:21:54 install libkrb5-3:amd64 <none> 1.18.3-6+deb11u4
2024-06-30 16:21:54 status half-installed libkrb5-3:amd64 1.18.3-6+deb11u4
2024-06-30 16:21:54 status unpacked libkrb5-3:amd64 1.18.3-6+deb11u4
2024-06-30 16:21:54 install libkrb5support0:amd64 <none> 1.18.3-6+deb11u4
2024-06-30 16:21:54 status half-installed libkrb5support0:amd64 1.18.3-6+deb11u4
2024-06-30 16:21:54 status unpacked libkrb5support0:amd64 1.18.3-6+deb11u4
2024-06-30 16:21:54 install liblz4-1:amd64 <none> 1.9.3-2
2024-06-30 16:21:54 status half-installed liblz4-1:amd64 1.9.3-2
2024-06-30 16:21:54 status unpacked liblz4-1:amd64 1.9.3-2
2024-06-30 16:21:54 install liblzma5:amd64 <none> 5.2.5-2.1~deb11u1
2024-06-30 16:21:54 status half-installed liblzma5:amd64 5.2.5-2.1~deb11u1
2024-06-30 16:21:54 status unpacked liblzma5:amd64 5.2.5-2.1~deb11u1
2024-06-30 16:21:54 install libmount1:amd64 <none> 2.36.1-8+deb11u2
2024-06-30 16:21:54 status half-installed libmount1:amd64 2.36.1-8+deb11u2
2024-06-30 16:21:54 status unpacked libmount1:amd64 2.36.1-8+deb11u2
2024-06-30 16:21:54 install libnettle8:amd64 <none> 3.7.3-1
2024-06-30 16:21:54 status half-installed libnettle8:amd64 3.7.3-1
2024-06-30 16:21:54 status unpacked libnettle8:amd64 3.7.3-1
2024-06-30 16:21:54 install libnsl2:amd64 <none> 1.3.0-2
2024-06-30 16:21:54 status half-installed libnsl2:amd64 1.3.0-2
2024-06-30 16:21:54 status unpacked libnsl2:amd64 1.3.0-2
2024-06-30 16:21:54 install libp11-kit0:amd64 <none> 0.23.22-1
2024-06-30 16:21:54 status half-installed libp11-kit0:amd64 0.23.22-1
2024-06-30 16:21:54 status unpacked libp11-kit0:amd64 0.23.22-1
2024-06-30 16:21:55 install libpam-modules:amd64 <none> 1.4.0-9+deb11u1
2024-06-30 16:21:55 status half-installed libpam-modules:amd64 1.4.0-9+deb11u1
2024-06-30 16:21:55 status unpacked libpam-modules:amd64 1.4.0-9+deb11u1
2024-06-30 16:21:55 install libpam-modules-bin:amd64 <none> 1.4.0-9+deb11u1
2024-06-30 16:21:55 status half-installed libpam-modules-bin:amd64 1.4.0-9+deb11u1
2024-06-30 16:21:55 status unpacked libpam-modules-bin:amd64 1.4.0-9+deb11u1
2024-06-30 16:21:55 install libpam-runtime:all <none> 1.4.0-9+deb11u1
2024-06-30 16:21:55 status half-installed libpam-runtime:all 1.4.0-9+deb11u1
2024-06-30 16:21:55 status unpacked libpam-runtime:all 1.4.0-9+deb11u1
2024-06-30 16:21:55 install libpam0g:amd64 <none> 1.4.0-9+deb11u1
2024-06-30 16:21:55 status half-installed libpam0g:amd64 1.4.0-9+deb11u1
2024-06-30 16:21:55 status unpacked libpam0g:amd64 1.4.0-9+deb11u1
2024-06-30 16:21:55 install libpcre2-8-0:amd64 <none> 10.36-2+deb11u1
2024-06-30 16:21:55 status half-installed libpcre2-8-0:amd64 10.36-2+deb11u1
2024-06-30 16:21:55 status unpacked libpcre2-8-0:amd64 10.36-2+deb11u1
2024-06-30 16:21:55 install libpcre3:amd64 <none> 2:8.39-13
2024-06-30 16:21:55 status half-installed libpcre3:amd64 2:8.39-13
2024-06-30 16:21:55 status unpacked libpcre3:amd64 2:8.39-13
